id_agence;code_agence;nom_agence
e2632556-be50-45a5-a6ef-eb5b20bd2311;assassiner énumérer perplexe;au dépens de dehors tandis que
53a47c6c-c7f0-4001-b355-4bf43f085de0;hormis déboucher collègue;si bien que après dans la mesure où
5ae86676-58c1-4c4a-9d71-f53bd1af8162;à la faveur de;hi chercher
012b0871-5e44-4c62-8baf-c8c15551adf4;combien;miaou en commis
5ddae849-9d54-4eb2-bb72-d3123da8af06;hé;délectable exprès
8aff59c2-d4a0-4d89-9530-f9f5b5a95571;rectorat;quitte à avant que bang
a26507b2-83d5-4653-bdef-4fa191b27597;perplexe;photographier
5aecde4e-1562-4b7b-9599-6e0ab85add83;à l'insu de dans la mesure où regretter;dès que avant que ah
5acddf98-d0ac-42a5-a740-c0a1868eb4e3;malade crac boum;biathlète
80fa241e-b4f7-45a0-bad1-8359bd3f5487;après que;perplexe sombre
