id_banque;code;devise;langue;logo;code_swift;code_iban;code_pays;fuseau_horaire;cut_off_time;code_participant;libelle_participant
fe47e585-9f2a-4668-b788-ea0df8d7a0ff;autrement;XOF;EN;également;actionnaire;entre;conseil municipal membre du personnel;drelin;coin-coin timide;sous;dessus
c9f5cea4-1531-477d-be0b-65c687dcdb48;coin-coin;EUR;EN;hebdomadaire;d’autant que;désagréable au lieu de;à même;loin de immense;comprendre antagoniste grrr;calme areu areu;auprès de pschitt ha
77b35215-abe9-4835-873f-baa81849f199;ding;XOF;FR;énorme incalculable élever;ainsi snif parfois;infiniment dès que à moins de;attaquer trop peu areu areu;adorable cadre;moyennant égoïste au point que;vis-à-vie de pour délégation;tout
e484c2df-6aaa-4469-9d87-f52530ac4056;pleuvoir extatique drôlement;EUR;EN;vouh pendant que;hé;par altruiste;copier grâce à;extatique magnifique;marron autrement;hypocrite tellement;neutre
6daee4af-479e-48b8-a6bb-9135321b4acf;afin que;XOF;EN;aussitôt que;vouh;commis;trop;de manière à ce que corps enseignant;à même tant que;diététiste toc-toc suivant;tout
5d1a9b3f-52a5-401f-835a-e35e021b3ebc;désagréable;USD;FR;accommoder aspirer après-demain;en bas de collègue;reparaître;loufoque;au moyen de étant donné que très;bang énergique;exiger chut;personnel
f24c0413-bcc4-4440-a374-30ab865b2f89;chef de cuisine bè;USD;FR;conseil municipal;biathlète;cadre;magenta;chef ouille;rectangulaire sitôt que promouvoir;sur fonctionnaire;au-dessous de population du Québec
ddb5346d-7ccd-4dec-9a1f-8a715e0e19c0;comment;XAF;FR;touchant terminer super;outre chef;ouch;téméraire;distribuer;grrr étrangler;si bien que tchou tchouu;même si sale vaste
ff1dcad6-28f3-4883-bb99-63f4dbe6ba4b;rose après que;USD;FR;secours;manifester membre de l’équipe;amorphe tsoin-tsoin;afin que smack;pendant que;de peur que;si;quelque
606802f2-3891-4d3d-8bfd-1610508b9e4a;pis emporter précipiter;EUR;EN;du côté de;pin-pon miam avant;à condition que pratiquer;pendant que novice responsable;pin-pon;tsoin-tsoin jusqu’à ce que communauté étudiante;population du Québec zzzz;administration ça
