id_canal;libelle
4b3fc28c-1998-45c2-b2e4-f357d36838ad;assez
c9f25dda-7187-4cb2-b931-159689108db3;rédaction atchoum
6169a24c-ac14-4979-9ef2-da6aaf2673fd;imaginer
8ea3b5a7-01de-4a5e-882e-90c409d5643e;à raison de hôte
1c5831e6-36ee-4084-b4e7-389c86891714;aider aussi
f5bcd6dc-4947-42c0-b9ee-49af9fcf7b87;commis ferme clac
9212c16b-27b3-43b9-bf40-780bc1e9922a;glouglou
9a2eea4a-12b5-4b5a-ad19-0b9e303b7777;délégation quelque exprès
c8458e57-6084-492d-a5dd-ff7538c6a33c;rapide loufoque
33600d8a-e9c1-4bec-ae31-e6a5493c5b73;téméraire tendre inciter
