id;id_contrat;id_abonne;id_compte_bancaire
1;ouin extra;extra;à la merci puisque absolument
2;trop au moyen de;à demi souple;de baisser commis de cuisine
3;au-dessous;partenaire;commissionnaire tard soulever
4;profiter sédentaire personnel professionnel;sans que;svelte
5;subito habile;perdre après que d’autant que;secouriste menacer
6;du moment que avex;aux environs de;carrément
7;moyennant de manière à ce que;même si détendre;quand vivace incalculable
8;délégation bè svelte;touchant dring;autour de
9;selon prou;présidence sédentaire novice;pour que a avant que
10;antagoniste céans;pointer probablement pour que;étant donné que
