id;id_canal;id_type_transaction;id_dispositif
1;entre avant;fort quant à;renseigner
2;boum;tant que émérite;près de dès un peu
3;tant que coac coac;appeler;au-dehors parce que par rapport à
4;d’autant que vlan;meuh détendre;psitt vite
5;malgré jusqu’à ce que;calculer plouf;hôte réagir
6;athlète guère;clac de crainte que en dehors de;présidence
7;athlète prestataire de services;de façon à ce que coordonner gestionnaire;interroger lorsque désormais
8;ding tranquille dedans;adepte jeune;ouille
9;compliquer;si;aïe en guise de concilier
10;que;trop quand aussitôt que;candide exploser trop
