id_dispositif;libelle
99081f59-63b5-418d-b972-38103834ef82;lentement afin que échouer
f923757e-7ae2-4d44-ac9a-089d23942d63;cot cot
86d5dab6-b87a-443d-a2b0-8e666946e91f;main-d’œuvre infiniment
4f4e8748-aa55-4317-bf7f-dbefdfbb2e10;ha ha mince alors
1264d239-4602-4307-a837-06ecab4e06b5;concurrence séculaire pis
34846105-a61c-416b-95a5-05ef30327e3a;lors
d70d5ced-39c6-405a-9e4d-89723a876f00;du moment que
4d056e07-2f68-4063-89d7-ab3e47c353be;insuffisamment
f3d4f0db-1cf7-45c2-9713-a0323a2449a0;triste
f984ff0d-aafb-4f37-8069-ea6cea3e4c10;pourpre équipe
