id_jour_ferie;libelle
c8b45327-45c4-4c91-91c2-f65ad656b150;debout jusqu’à ce que
ca6a3174-3324-408c-a575-5f58e4dc5b65;peut-être à l'encontre de au cas où
482d4db7-422f-4ed1-9309-2908c80f02ab;biathlète parler
ce75c66d-adc1-4cc9-8058-adcc807fe896;derrière moyennant
c25c95d6-302c-4c31-90ba-5548c5dd94c8;triangulaire
99014267-d6c6-49a9-a598-fd66d83cf433;tant que guider admirablement
66d92c90-ea72-4bf0-8949-e89bcbf0b34f;coin-coin enfoncer
7be2d2ef-9c9e-4a33-b7b3-da1a1dc2c25c;trop peu
fdfe5320-dfcf-4ac4-a21f-52cf0d5e1f9c;horrible de sorte que jamais
070d9362-27e8-4207-8623-9c3204f5d2e2;autrement propre actionnaire
