id_message_erreur;code_erreur;description
ef9db2f1-5337-4287-aa2f-98fb1ee133ef;basculer;assez
6f9bf4fd-3362-432a-a086-e7b40e65f6c5;ferme épargner;ha
09d7a58a-91cf-436f-9410-04ade59a713d;avare;gai soit
b8017e0d-73f9-4939-96a8-fc50b32f7a8a;remettre dessus;grandement ça gestionnaire
ef67cd0b-a8a9-4173-9519-308ebcc738f2;écarter innombrable;présidence
4abd2906-bab8-4272-ac86-e645e6318053;aujourd'hui jusque;jusqu’à ce que altruiste
a6ccd97f-552e-468f-aa62-e9ee4e525efe;ah en dedans de secouriste;commis commis membre de l’équipe
6abc08bf-e653-4503-8678-d2054aeca2d5;badaboum;fort
dfbcfa3d-8d02-4c40-ba3f-55c75b941f2a;rudement enfermer danser;tout de blême
75592ff8-86e4-4bf1-aa08-4007805a162e;intéresser remonter;abolir tant innombrable
