id_param_global;code_param;type_param;valeur
f652702c-e8de-4c6a-b3be-9775704c53d2;population du Québec;tic-tac pschitt coac coac;boucher
9464a500-baf5-4b28-ac6e-40c480d883b9;souffler parcourir;fonctionnaire;triathlète hirsute pour
bfc16854-d266-493c-869c-9aeb123dd302;solitaire;pauvre plouf prou;gestionnaire trop peu par suite de
4b49d9ea-a238-4f11-b43c-5fe473fb8dae;cocorico;lectorat;vroum
99d77185-f134-44c0-85dc-76ea4edfe111;ménager;par suite de de manière à;vivace rapporter ménager
8ee4bcff-008f-4f05-b86a-f8aa60b96da3;juriste;coac coac moyennant égoïste;en dépit de jusqu’à ce que
96325dc1-e80e-4368-96ba-e23915f9eddc;à partir de comme au-dessus de;svelte tourner;grrr drelin à la faveur de
262ccc14-7abb-4c76-ae73-a1201bdace3a;de façon que;d'avec camarade;tant administration badaboum
d7d0c4dc-fb25-4343-b9be-1dc9423c7510;derrière;à force de comme;bof
e78574ff-50fe-4f00-85a8-be7a06b0ac49;pendant;éloigner;causer
