id_type_transaction;libelle
c7b90539-a524-4637-a6d1-6f838801ba3e;broum bien que
92893123-6829-4557-be96-27c84b31d9de;fonctionnaire hystérique convertir
48eff17c-1159-422f-bc31-cc22e797c6ee;population du Québec
9582f1f3-c8f9-4406-85fe-7e57cf3f33dc;commander chier
c09ffedc-7731-4f02-909d-33927bb59008;en face de
1b0455a0-b8b2-4ec4-a6ab-bf23b8f38748;super cocorico
6ef72d87-d860-4b2d-be2a-5536f0b8c4bb;considérable
a1c36bb2-a30f-4967-94e6-3a732b4101a2;cependant mélancolique cadre
4e682ef8-f9ac-4126-900c-28c50a5e9416;géométrique dans la mesure où diététiste
1aa26a51-7d84-42a6-a764-b2472123750c;subito
