id_var_notification;code_variable;description
21e44660-5e8b-4666-8b3c-1368fcbc9adc;en dehors de;extatique énorme
295d9b9e-b038-40af-b3ee-bd182ade81f8;du côté de tendre gens;vraisemblablement fonctionner agréable
64b1cdb9-06f9-40b1-9fe6-75fc8475f469;sitôt;atchoum
017051eb-1310-42a9-af0d-045049329080;mettre;en guise de étouffer
d5d2825a-43d5-4bf6-809b-e0c98c1e4c11;désormais;drelin
fc5c02d8-a7ea-4cb5-b028-8e242bbfcc48;puis selon glouglou;accommoder boum patientèle
d3bd1903-537f-47bf-b64f-b445f7a4ace1;sauvage;responsable
a3086d6f-c0a7-4167-a630-b591611f5004;si bien que;répartir
2d5de24c-f2a4-483f-ae29-279bd1a785c9;près en face de;chef de cuisine
7b848497-0aa7-4b30-a7de-f0d02426afdb;de façon à ce que caractériser;ouin blablabla coin-coin
